,value
{'offer id': '9b98b8c7a33c4b65b9aebfe6a799e6d9'},7677
{'offer id': '0b1e1539f2cc45b7b9fa7c272da2e1d7'},7668
{'offer id': 'ae264e3637204a6fb9bb56bc8210ddfd'},7658
{'offer id': '2298d6c36e964ae4a3e7e9706d1fb8c2'},7646
{'offer id': '2906b810c7d4411798c6938adc9daaa5'},7632
{'offer id': '5a8bc65990b245e5a138643cd4eb9837'},7618
{'offer id': '3f207df678b143eea3cee63160fa8bed'},7617
{'offer id': 'fafdcd668e3743c1bb461111dcafc2a4'},7597
{'offer id': '4d5c57ea9a6940dd891ad53e9dbe8da0'},7593
{'offer id': 'f19421c1d4aa40978ebb69ca19b0e20d'},7571
